FamilyName1,FamilyName2,CommonName,AlsoKnownAs,ScientificName,MinSize,MaxSize,AdditionalSizeInfo,PossessionLimit,AdditionalPossessionInfo,SpeciesLimit,SpeciesName,GroupLimit,GroupName,ClosedSeasonDate,AdditionalClosedSeasonInfo,MisIdentified,,Description,AverageGrowth,MaximumGrowth,Distribution,AdditionalInformation,Image1,Caption1,Image2,Caption2,Image3,Caption3
"Parrotfishes, tuskfish and wrasses",N/A,Blackfin pigfish,"Blackfin hogfish
Eclipse hogfish
Reef pigfish","Bodianus loxozonus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blue lines over the face
dotted horizontal lines over body
large black blotch extending obliquely from the base of the soft dorsal fin to the bottom of the tail fin, which shrinks as the fish gets larger
black anal and pelvic fins
black spot at the start of the spiny dorsal fin",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blackfin-pigfish.jpg,N/A,N/A,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Blackspot tuskfish,N/A,"Choerodon schoenleinii
",30,N/A,N/A,N/A,N/A,6,combined limit for all tuskfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"adult fish are vivid green blue to olive
scales carry a bright blue green bar
irregular horizontal lines on tail base
black spot at the base of the dorsal fin is characteristic but not always present
well developed tusk like teeth",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blackspot-tuskfish.jpg,N/A,http://app.fisheries.qld.gov.au/images/blackspot-tuskfish-2.jpg,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Blue tuskfish,N/A,"Choerodon cyanodus
",30,N/A,N/A,N/A,N/A,6,combined limit for all tuskfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"fine wavy blue lines and blue tips on tail fin
white spot on the upper back below the middle of the dorsal fin which may not be obvious on some specimens
white chin and well developed tusk like teeth",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blue-tuskfish.jpg,N/A,http://app.fisheries.qld.gov.au/images/blue-tuskfish-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/blue-tuskfish-3.jpg,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Diana's hogfish,N/A,"Bodianus diana
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"adults have scattered pale spots along the upper sides
the body is red to brown
juveniles have pale spots on the upper sides and black spots on the pelvic, anal and tail fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/dianas-hogfish.jpg,N/A,N/A,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Grass tuskfish,Purple tuskfish,"Choerodon cephalotes
",30,N/A,N/A,N/A,N/A,6,combined limit for all tuskfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"purple body
greenish head carries a bright blue 'helmet' crossed with fine yellow lines
chin is creamy white with curved blue lines
blue marks on each side of the scales form irregular wavy vertical lines on the body
white blotch above the pectoral fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/grass-tuskfish.jpg,N/A,N/A,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Humphead Maori wrasse,N/A,"Cheilinus undulatus
",N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"two fine wavy black lines radiate from the eyes to the top of the gill cover and corner of the mouth
intricate maze like patterns of lines cover the face and chest
dark and light coloured large scales form a woven pattern on the body
large hump on head grows with age",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/humphead-maori-wrasse.jpg,N/A,http://app.fisheries.qld.gov.au/images/humphead-maori-wrasse-2.jpg,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Redbreasted Maori wrasse,N/A," Cheilinus fasciatus
 ",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"adults have a large red patch from the nape to the chest
bright orange lines radiate from the eyes
in larger fish, the tail fin tips extend to fine trailing points
fish in all phases have black and white body bars",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/redbreasted-maori-wrasse.jpg,N/A,http://app.fisheries.qld.gov.au/images/redbreasted-maori-wrasse-2.jpg,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Splitlevel hogfish,N/A,"Bodianus mesothorax
 ",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"head and nape above the top jaw are dark olive to red brown
its rear is pale creamy yellow
the body is distinctly separated by a black band which fades with age
black spot at the base of the pectoral fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/splitlevel-hogfish.jpg,N/A,N/A,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Tripletail Maori wrasse,N/A,"Cheilinus trilobatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"each scale carries a vertical orange pink line
face and head are patterned with orange pink dots and wiggly lines
pectoral fins are yellow
as fish grow, the top and bottom of the tail fin rays lengthen and the fin appears to have three lobes",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/tripletail-maori-wrasse.jpg,N/A,N/A,N/A,N/A,N/A
"Parrotfishes, tuskfish and wrasses",N/A,Venus tuskfish,N/A,"Choerodon venustus
",30,N/A,N/A,N/A,N/A,6,combined limit for all tuskfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"small blue to white dots on each scale
large red to pink smudges on sides
fins and lips are edged in bright blue purple
a black shoulder blotch may be present in some fish",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/venus-tuskfish.jpg,N/A,http://app.fisheries.qld.gov.au/images/venus-tuskfish-2.jpg,N/A,N/A,N/A
Penny fish,N/A,Penny fish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Banded grunter,Barred grunter,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/banded-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Barcoo grunter,Jade perch,Scortum barcoo,30,N/A,N/A,N/A,N/A,5,"combined limit for Barcoo grunter, Welsh's grunter and silver perch species",N/A,N/A,N/A,N/A,"Silver perch
Welsh's grunter
",,"medium to large sized grunter species 
heavily built body and a small head
usually brownish black and fins darker than the body
body usually has black irregular blotches
",25,35,"ranges from the Gilbert River and its tributaries in northern Queensland, to the Cooper Creek and Lake Eyre drainage of central Australia, and through the Barkley Basin, Limmen Bight, Roper and Macarthur regions of the Northern Territory
hatchery-reared fingerlings have been stocked at Jericho Waterholes, Jericho
usually turbid waters of large rivers and waterholes
",N/A,http://app.fisheries.qld.gov.au/images/barcoo-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Coal grunter,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/coal-grunter.jpg,N/A,http://app.fisheries.qld.gov.au/images/coal-grunter-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/coal-grunter-juvenile.jpg,N/A
Perch and grunter (freshwater),N/A,Gilbert's grunter,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/gilberts-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Golden perch,Yellowbelly,Macquaria ambigua,30,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Australian bass,,"large perch with distinctive concave forehead profile
humped back increases with age
protruding lower jaw and truncate tail fin
adults bronze/olive/brownish overall with a yellow belly
",40,75,"found naturally in the Murray Darling, Lake Eyre /Bulloo basins and Dawson and Fitzroy rivers
prefers warm slow moving turbid sections of streams but also found in flooded backwaters and stocked impoundments south of Yeppoon

",N/A,http://app.fisheries.qld.gov.au/images/golden-perch.jpg,N/A,http://app.fisheries.qld.gov.au/images/golden-perch-2.jpg,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Jungle perch,N/A,Kuhlia rupestris,35,N/A,N/A,N/A,N/A,1,combined limit for jungle perch and spotted flagtail,N/A,N/A,N/A,N/A,Spotted flagtail,,"vibrant silver fish with black scale margin
bold black markings on tail
tips of tail rounded 
",20,45,"Found in clear running mountain streams/slower pools on the east coast
Previously found down the Queensland coast - now restricted to isolated pockets north of Townsville.
",N/A,http://app.fisheries.qld.gov.au/images/jungle-perch.jpg,N/A,http://app.fisheries.qld.gov.au/images/jungle-perch-2.jpg,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Khaki grunter,Black bream,Hephaestus tulliensis,N/A,N/A,N/A,N/A,N/A,10,combined limit for sooty grunter and khaki grunter,N/A,N/A,N/A,N/A,Sooty grunter,,"small to medium size grunter characterised by a heavily built body
uniformly black or brownish grey overall with darker scale margins
when pelvic fins are depressed against the body they reach the vicinity of the anus 
distinct orange/red eye
",20,30,"abundant throughout coastal drainages of Northern Territory, Gulf of Carpentaria and north eastern Queensland
usually found in faster flowing streams, including riffles, over gravel, cobble and rock bottoms
",N/A,http://app.fisheries.qld.gov.au/images/khaki-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Leathery grunter,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Lorentz's grunter,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Silver perch,N/A,Bidyanus bidyanus,30,N/A,N/A,N/A,N/A,5,"combined limit for Barcoo grunter, Welsh's grunter and silver perch species

(Silver perch caught in the Paroo and Warrego River basins are No take species)
",N/A,N/A,N/A,N/A,"Barcoo grunter
Welsh's grunter
",,"Large grunter species characterized by a small mouth and head relative to body size.
Colour usually silvery grey with darker scale margins.
Belly whitish and fins dusky grey to black.
",30,50,"Rapid flowing rivers, lakes and impoundments",N/A,http://app.fisheries.qld.gov.au/images/silver-perch.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Small headed grunter,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Spangled perch,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/spangled-perch.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Spotted flagtail,Northern jungle perch,Kuhlia marginate,35,N/A,N/A,N/A,N/A,1,combined limit for jungle perch and spotted flagtail,N/A,N/A,N/A,N/A,Jungle perch,,"vibrant silver fish
distinct red colouration found on the anal fin
upper and lower lobes of the tail are pointed
",20,45,Found in clear running mountain streams in far north Queensland.,N/A,http://app.fisheries.qld.gov.au/images/spotted-flagtail.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Sooty grunter,Black bream,Hephaestus fuliginosus,28,N/A,N/A,N/A,N/A,10,combined limit for sooty grunter and khaki grunter,N/A,N/A,N/A,N/A,Khaki grunter,,"medium to large size grunter characterized by a heavily built body
usually uniformly black or brownish grey overall with darker scale margins
juveniles have dark blotch on soft dorsal and anal fins
when pelvic fins pressed against the body they donït reach the anus 

",25,45,"abundant throughout coastal drainages of Northern Territory, Gulf of Carpentaria and north eastern Queensland
usually found in large flowing streams especially in the upper reaches over sandy or rocky bottoms with sparse aquatic vegetation

",N/A,http://app.fisheries.qld.gov.au/images/sooty-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Perch and grunter (freshwater),N/A,Welch's grunter,N/A,Bidyanus welchi,30,N/A,N/A,N/A,N/A,5,"combined limit for Barcoo grunter, Welsh's grunter and silver perch species",N/A,N/A,N/A,N/A,"Silver perch 
Barcoo grunter 
",,"medium to large size grunter characterised by a heavily built body and a small head
usually grey, brown or olive in colour, with darker scale margins, tending to silver towards the belly

",23,40,"Lake Eyre drainage (Barcoo, Diamintina, Georgina, Thompson and Wilson rivers) and also in the Bulloo River
usually found in turbid waters of large rivers and waterholes",N/A,http://app.fisheries.qld.gov.au/images/welchs-grunter.jpg,N/A,N/A,N/A,N/A,N/A
Jewfish,N/A,Black jewfish,"Spotted croaker
Blotched jewfish
",Protonibea diacanthus,N/A,N/A,"East coast: 75 cm min

Gulf of Carpentaria: 60 cm min",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mulloway
Silver jewfish
",,"three to five dark bars and many small black spots (about size of pupil) on the upper half of the body
top of the head and caudal fin has many small black spots (about size of pupil)
pectoral, pelvic and anal fins and lower part of caudal fin are black
in larger fish the bars and spots are obscure or absent
",80,150,"central Queensland and further north, spreading into the Gulf of Carpentaria
confined to northern Queensland
coastal waters (to a depth of 100 m)
ascends tidal rivers and estuaries

",N/A,http://app.fisheries.qld.gov.au/images/black-jewfish.jpg,N/A,http://app.fisheries.qld.gov.au/images/black-jewfish-juvenile.jpg,N/A,N/A,N/A
Jewfish,N/A,Mulloway,"Jewfish
Kingfish
Soapies
School jew
",Argyrosomus japonicus,75,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Teraglin
Black jewfish
",,"silvery blue or grey back
whitish flanks and belly
lateral line a series of pearly spots
fins are grey or brown
pectoral fin has a black spot at base
edges of jaws and inside of gill cover are dirty yellow
",100,200,"Bundaberg and further south
lower reaches of rivers, estuaries, rocky reefs, ocean beaches
continental shelves (to a depth of 150 m)

",N/A,http://app.fisheries.qld.gov.au/images/mulloway.jpg,N/A,N/A,N/A,N/A,N/A
Jewfish,N/A,River perch,"River jewfish
Little jewfish
Sharpnosed hammer croaker
",Johniops vogleri,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mulloway (juvenile),,"rounded snout (not swollen or projecting)
bright orange colouration inside mouth
body shape is compact
bright silvery colouration with purple sheen along back
tail reflects the shape of a rhomboid
",20,35,"south east Queensland to Rockhampton
inshore estuarine rivers and bays
benthic feeder
",N/A,http://app.fisheries.qld.gov.au/images/river-perch.jpg,N/A,N/A,N/A,N/A,N/A
Jewfish,N/A,Scaly jewfish,"Jewel fish
Scale coaker
",Nibea squammosa,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Black jewfish
Silver jewfish",,"snout blunt, slightly projecting in front of upper jaw
small mouth with upper jaw extending backwards below hind margin of pupil
second anal spine long and stiff
scaly growths present in older fish along dorsal surface and on tail
",N/A,N/A, Gulf of Carpentaria,N/A,http://app.fisheries.qld.gov.au/images/scaly-jewfish.jpg,N/A,N/A,N/A,N/A,N/A
Jewfish,N/A,Silver jewfish,Soldier croaker,Nibea soldado,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Scaly jewfish
Black jewfish
",,"silvery with a faint series of oblique stripes along scale rows
dorsal fin has a dark margin on soft part
pectoral and pelvic fins have a yellow tinge
",40,60,"Wide Bay and further north around to Gulf of Carpentaria
coastal waters and estuaries

",N/A,http://app.fisheries.qld.gov.au/images/silver-jewfish.jpg,N/A,N/A,N/A,N/A,N/A
Jewfish,N/A,Teraglin,"Teraglin jew
Trag jew
Geelbek
",Atractoscion aequidens,38,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mulloway,,"body is iridescent blue and purple, often with faint oblique lines on back and sides
pectoral fin has a black blotch at base
edges of the jaw and inside of gill covers are bright yellow
",35-40,70,"Double Island Point and south
coastal waters to a depth of 200 m

",N/A,http://app.fisheries.qld.gov.au/images/teraglin.jpg,N/A,N/A,N/A,N/A,N/A
Longtom,N/A,Freshwater longtom,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mahi mahi,N/A,Mahi mahi,"Dolphinfish
Dorado
",Coryphaena hippurus,50,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"brilliant metallic blue green on the back (colour fades rapidly upon death)
sides are silvery with a golden sheen, with one or more rows of dark spots or golden blotches running below the dorsal fin (around the lateral line and scattered irregularly)
black dorsal and anal fins (the anal fin has a white edge)
pale pectoral fins
caudal fin is silvery with golden sheen
in juveniles the tips of caudal fin lobes are white and the pelvic fins are black
",100,210,all Queensland open waters (a pelagic species) and also approaches the coast,N/A,http://app.fisheries.qld.gov.au/images/mahi-mahi.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Banded rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/banded-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Black-banded rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,11,N/A,"coastal streams of northern Queensland, ranging to Western Australia
",N/A,http://app.fisheries.qld.gov.au/images/black-banded-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Cairns rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/cairns-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Chequered rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,"bright greenish brown with pale blue spots becoming more intense towards the tail
9 10 coppery lines the length of their body
",9,N/A,"restricted to rivers of the Cape York Peninsula (North Queensland) that flow into the Gulf of Carpentaria and some freshwater streams of the Northern Territory
",N/A,http://app.fisheries.qld.gov.au/images/chequered-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Crimsonspotted rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/crimsonspotted-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Desert rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/desert-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Eastern rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/eastern-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Lake Eacham rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/lake-eacham-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,McCulloch's rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Murray River rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Ornate rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,http://app.fisheries.qld.gov.au/images/ornate-rainbowfish.jpg,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Pink-eared rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,"bright silver blue
upper body scales have glowing iridescent edges
scales towards their tail are outlined by bright crimson
",10,N/A,coastal streams of southern Queensland and New South Wales,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbowfish,N/A,Threadfin rainbowfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit per species,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,"northern Australia
",N/A,N/A,N/A,N/A,N/A,N/A,N/A
River blackfish,N/A,River blackfish,"Slipperys, slimies
Nickyïs
Nicky long-cod",Gadopsis marmoratus,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,Two spine blackfish,,"slender elongated body, with a rounded snout and a rounded caudal fin (tail)
colouration varies from uniform grey to paler brown with irregular darker bands, blotches or mottling on sides

",30,60,"restricted distribution in some parts of the Murray-Darling basin
prefers clear, gently flowing streams with abundant log snags

",Protected species as it is prone to overfishing due to its limited distribution and low fertility,http://app.fisheries.qld.gov.au/images/river-blackfish.jpg,N/A,N/A,N/A,N/A,N/A
Saratoga,N/A,Northern saratoga,Spotted barramundi,Scleropages jardinii,50,N/A,N/A,N/A,N/A,1,combined limit for northern and southern saratoga,N/A,N/A,N/A,N/A,Southern saratoga,,"dark brown along the back, graduating to a pink belly
three to four orange spots on each scale, which form a crescent pattern
strongly compressed bodies, a sloping lower jaw and short fleshy barbels on the chin
good sports fish as they readily take baits, lures and flies
very poor for consumption due to numerous fine bones
",60,100,"widely distributed in northern Queensland river systems, south from the Jardine river and throughout the Gulf of Carpentaria
upper reaches of fast-flowing streams and still billabongs
prefer clear streams and rivers
",N/A,http://app.fisheries.qld.gov.au/images/northern-saratoga.jpg,N/A,N/A,N/A,N/A,N/A
Saratoga,N/A,Southern saratoga,Spotted barramundi,Scleropages leichardti,50,N/A,N/A,N/A,N/A,1,combined limit for northern and southern saratoga,N/A,N/A,N/A,N/A,Northern saratoga,,"primitive, surface dwelling fish with strongly compressed bodies
flat back, with a dorsal fin set back towards the tail of their long bodies
dark brown to olive green along the back, with lighter sides and a white belly
body scales are marked with one or two pinkish spots
lower jaw slopes steeply upwards and carries two fleshy barbels on the chin
good sports fish as they readily take baits, lures and flies
very poor for consumption due to the presence of fine bones
",50,100,"native to the Fitzroy river system
commonly found in freshwater impoundments on the Mary, Dawson and Burnett rivers
stocked in some south east Queensland impoundments
prefer still waters and slow flowing turbid sections of rivers and can be found sheltering in lily-pads or below fallen timber

",Due to their restricted natural range and poor fecundity they are prone to overfishing and hence have a possession limit of one,http://app.fisheries.qld.gov.au/images/southern-saratoga.jpg,N/A,N/A,N/A,N/A,N/A
Sea cucumbers,N/A,Beche de mer,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/beche-de-mer.jpg,N/A,http://app.fisheries.qld.gov.au/images/beche-de-mer-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/beche-de-mer-3.jpg,N/A
Sea cucumbers,N/A,Black teatfish,N/A,N/A,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/black-teatfish.jpg,N/A,N/A,N/A,N/A,N/A
Sevenspot archer fish,N/A,Sevenspot archer fish,Common archer fish,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/archerfish.jpg,N/A,N/A,N/A,N/A,N/A
"Sharks, rays and sawfish",N/A,Bignose shark,N/A,Carcharhinus altimus,N/A,150,N/A,N/A,N/A,1,combined limit for all shark and ray species,N/A,N/A,N/A,N/A,"Galapagos shark (C. galapagensis - no records in Queensland coastal waters)
",,"medium sized, slender whaler
relatively tall and broad based first dorsal fin, long pectoral fins and a prominent interdorsal ridge
upper surface bronze to grey and white underneath
no distinct fin markings, but fin tips sometimes dusky in juveniles
upper teeth triangular, long, pointed and serrated; erect at front of mouth and progressively oblique towards the back",60-300,N/A,"offshore, reported off northern Queensland but also possibly southern Queensland
demersal on deep continental shelves and insular slopes by day and may be pelagic by night",N/A,http://app.fisheries.qld.gov.au/images/bignose-shark.jpg,N/A,N/A,N/A,N/A,N/A
"Sharks, rays and sawfish",N/A,Blacktip reef shark,"Mullet shark
Blacktip shark
Guliman",Carcharhinus melanopterus,N/A,150,N/A,N/A,N/A,1,combined limit for all shark and ray species,N/A,N/A,N/A,N/A,"Nervous shark (C. cautus)
",,"Small to medium, moderately stout whaler
ranges from yellow brown to grey on the upper surface and white underneath
pale white stripe running along the flanks
distinct black tips on all fins and a thin black margin on the front of the upper and the back off both caudal fin lobes
can be coarse to touch on flanks","48 - 140 
",180,"inshore/offshore
associated with coral reefs and shoals",N/A,http://app.fisheries.qld.gov.au/images/blacktip-reef-shark.jpg,N/A,N/A,N/A,N/A,N/A
"Sharks, rays and sawfish",N/A,Blind sharks,N/A,N/A,N/A,150,N/A,N/A,N/A,1,combined limit for all shark and ray species,N/A,N/A,N/A,N/A,N/A,,"Blind shark:
generally stout, small to medium sized bottom dwelling sharks similar to the longtail carpetsharks but with longer nasal barbels
light brown to black, usually with pale spots and dark saddles fading in larger specimens
juveniles have faint dark bands around the body and tail

Colclough's shark:
smaller species (to at least 60 cm)
grey brown with dark saddles on the body fading in larger specimens
juveniles have faint dark bands around the body and tail

",N/A,120,rare in Queensland waters,N/A,http://app.fisheries.qld.gov.au/images/blind-shark.jpg,N/A,N/A,N/A,N/A,N/A
"Sharks, rays and sawfish",N/A,Blue shark,"Blue whaler
Great blue shark
Blue pointer",Prionace glauca,N/A,150,N/A,N/A,N/A,1,combined limit for all shark and ray species,N/A,N/A,N/A,N/A,"Shortfin mako
",,"large very slender whaler
bright indigo blue on the upper surface and white underneath
",35 to at least 380 cm,N/A,mostly offshore,N/A,http://app.fisheries.qld.gov.au/images/blue-shark.jpg,N/A,N/A,N/A,N/A,N/A
